antecedent_code,antecedent,consequent_code,consequent,pair_orders,support,confidence,lift
15044C,PURPLE PAPER PARASOL,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,0.0007162041181736795,0.16783216783216784,1.2048106135509735
15044D,RED PAPER PARASOL,15044A,PINK PAPER PARASOL,88,0.002626081766636825,0.5057471264367817,94.6792525524947
15044D,RED PAPER PARASOL,15044B,BLUE PAPER PARASOL,83,0.0024768725753506414,0.47701149425287354,119.28847143592382
15044D,RED PAPER PARASOL,15044C,PURPLE PAPER PARASOL,77,0.0022978215458072217,0.4425287356321839,103.70026525198939
15044D,RED PAPER PARASOL,15036,ASSORTED COLOURS SILK FAN,53,0.0015816174276335423,0.3045977011494253,17.011781609195403
15044D,RED PAPER PARASOL,15056N,EDWARDIAN PARASOL NATURAL,25,0.0007460459564309161,0.14367816091954022,5.885886518843266
15056BL,EDWARDIAN PARASOL BLACK,15056N,EDWARDIAN PARASOL NATURAL,401,0.011966577141151895,0.5318302387267905,21.78683532974908
15056BL,EDWARDIAN PARASOL BLACK,20679,EDWARDIAN PARASOL RED,364,0.010862429125634138,0.4827586206896552,27.60621395786748
15056BL,EDWARDIAN PARASOL BLACK,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,176,0.00525216353327365,0.23342175066312998,10.774053532674223
15056BL,EDWARDIAN PARASOL BLACK,15056P,EDWARDIAN PARASOL PINK,169,0.005043270665472993,0.22413793103448276,24.953030129453545
15056BL,EDWARDIAN PARASOL BLACK,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,162,0.004834377797672337,0.21485411140583555,12.182337179711588
15056N,EDWARDIAN PARASOL NATURAL,15056BL,EDWARDIAN PARASOL BLACK,401,0.011966577141151895,0.4902200488997555,21.78683532974908
15056N,EDWARDIAN PARASOL NATURAL,20679,EDWARDIAN PARASOL RED,305,0.009101760668457177,0.37286063569682154,21.32177457713394
15056N,EDWARDIAN PARASOL NATURAL,15056P,EDWARDIAN PARASOL PINK,202,0.006028051327961802,0.2469437652811736,27.491978653063544
15056N,EDWARDIAN PARASOL NATURAL,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,172,0.005132796180244703,0.21026894865525672,9.705389076360403
15056N,EDWARDIAN PARASOL NATURAL,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,159,0.0047448522829006265,0.19437652811735942,11.021247812542661
15056P,EDWARDIAN PARASOL PINK,15056N,EDWARDIAN PARASOL NATURAL,202,0.006028051327961802,0.6710963455149501,27.491978653063544
15056P,EDWARDIAN PARASOL PINK,15056BL,EDWARDIAN PARASOL BLACK,169,0.005043270665472993,0.5614617940199336,24.953030129453545
15056P,EDWARDIAN PARASOL PINK,20679,EDWARDIAN PARASOL RED,151,0.004506117576842734,0.5016611295681063,28.68714070277687
15056P,EDWARDIAN PARASOL PINK,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,80,0.002387347060578932,0.26578073089701,12.267647785618188
15056P,EDWARDIAN PARASOL PINK,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,69,0.0020590868397493286,0.2292358803986711,12.997790781995716
15058A,BLUE WHITE SPOTS GARDEN PARASOL,15058B,PINK WHITE SPOTS GARDEN PARASOL,48,0.001432408236347359,0.48,182.78181818181818
15058A,BLUE WHITE SPOTS GARDEN PARASOL,47566,PARTY BUNTING,26,0.0007758877946881528,0.26,4.373795180722892
15058B,PINK WHITE SPOTS GARDEN PARASOL,15058A,BLUE WHITE SPOTS GARDEN PARASOL,48,0.001432408236347359,0.5454545454545454,182.78181818181818
15058B,PINK WHITE SPOTS GARDEN PARASOL,47566,PARTY BUNTING,22,0.0006565204416592062,0.25,4.205572289156627
15060B,FAIRY CAKE DESIGN UMBRELLA,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,57,0.0017009847806624889,0.2261904761904762,10.440279417552146
15060B,FAIRY CAKE DESIGN UMBRELLA,21232,STRAWBERRY CERAMIC TRINKET BOX,50,0.0014920919128618322,0.1984126984126984,3.6815113642356168
15060B,FAIRY CAKE DESIGN UMBRELLA,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,47,0.0014025663980901223,0.1865079365079365,10.575094674079445
15060B,FAIRY CAKE DESIGN UMBRELLA,85123A,WHITE HANGING HEART T-LIGHT HOLDER,43,0.0012831990450611758,0.17063492063492064,1.2249306320643083
15060B,FAIRY CAKE DESIGN UMBRELLA,85099B,JUMBO BAG RED WHITE SPOTTY,34,0.001014622500746046,0.1349206349206349,1.4467809523809525
16011,ANIMAL STICKERS,21829,DINOSAUR KEYRINGS ASSORTED,22,0.0006565204416592062,0.2037037037037037,24.378968253968257
16011,ANIMAL STICKERS,16237,SLEEPING CAT ERASERS,21,0.0006266786034019695,0.19444444444444445,20.951232583065384
16011,ANIMAL STICKERS,21034,REX CASH+CARRY JUMBO SHOPPER,21,0.0006266786034019695,0.19444444444444445,3.7106112376613516
16014,SMALL CHINESE STYLE SCISSOR,16016,LARGE CHINESE STYLE SCISSOR,49,0.0014622500746045957,0.6621621621621622,221.89054054054057
16014,SMALL CHINESE STYLE SCISSOR,16015,MEDIUM CHINESE STYLE SCISSOR,33,0.0009847806624888092,0.44594594594594594,237.20077220077224
16015,MEDIUM CHINESE STYLE SCISSOR,16016,LARGE CHINESE STYLE SCISSOR,38,0.0011339898537749925,0.6031746031746031,202.12380952380954
16015,MEDIUM CHINESE STYLE SCISSOR,16014,SMALL CHINESE STYLE SCISSOR,33,0.0009847806624888092,0.5238095238095238,237.20077220077224
16016,LARGE CHINESE STYLE SCISSOR,16014,SMALL CHINESE STYLE SCISSOR,49,0.0014622500746045957,0.49,221.89054054054057
16016,LARGE CHINESE STYLE SCISSOR,16015,MEDIUM CHINESE STYLE SCISSOR,38,0.0011339898537749925,0.38,202.12380952380954
16156S,WRAP PINK FAIRY CAKES,21498,RED SPOTS  WRAP,92,0.0027454491196657713,0.23896103896103896,10.648383531362255
16156S,WRAP PINK FAIRY CAKES,85123A,WHITE HANGING HEART T-LIGHT HOLDER,88,0.002626081766636825,0.22857142857142856,1.6408373117884685
16156S,WRAP PINK FAIRY CAKES,16161P,WRAP ENGLISH ROSE,83,0.0024768725753506414,0.21558441558441557,17.365946553446552
16156S,WRAP PINK FAIRY CAKES,21500,PINK SPOTS  WRAP,72,0.0021486123545210387,0.18701298701298702,13.506045678459472
16156S,WRAP PINK FAIRY CAKES,21499,BLUE SPOTS  WRAP,71,0.002118770516263802,0.18441558441558442,14.141341496032572
16161P,WRAP ENGLISH ROSE,21498,RED SPOTS  WRAP,125,0.0037302297821545805,0.3004807692307692,13.389774703355155
16161P,WRAP ENGLISH ROSE,16156S,WRAP PINK FAIRY CAKES,83,0.0024768725753506414,0.19951923076923078,17.365946553446552
16161P,WRAP ENGLISH ROSE,85123A,WHITE HANGING HEART T-LIGHT HOLDER,81,0.0024171888988361685,0.19471153846153846,1.3977685633774966
16161P,WRAP ENGLISH ROSE,22423,REGENCY CAKESTAND 3 TIER,72,0.0021486123545210387,0.17307692307692307,1.8290153555054216
16161P,WRAP ENGLISH ROSE,21500,PINK SPOTS  WRAP,71,0.002118770516263802,0.17067307692307693,12.325980188992043
16161U,"WRAP,SUKI AND FRIENDS",22045,SPACE BOY GIFT WRAP,85,0.002536556251865115,0.2891156462585034,21.72256795094719
16161U,"WRAP,SUKI AND FRIENDS",22383,LUNCHBAG SUKI  DESIGN,75,0.0022381378692927483,0.25510204081632654,4.513447406417688
16161U,"WRAP,SUKI AND FRIENDS",21498,RED SPOTS  WRAP,73,0.0021784541927782754,0.24829931972789115,11.064508250108554
16161U,"WRAP,SUKI AND FRIENDS",21495,SKULLS WRAP,68,0.002029245001492092,0.23129251700680273,22.596537157136908
16161U,"WRAP,SUKI AND FRIENDS",21497,FANCY FONTS BIRTHDAY WRAP,58,0.0017308266189197256,0.19727891156462585,14.434096782817932
16169E,WRAP 50'S  CHRISTMAS,22959,WRAP CHRISTMAS VILLAGE,48,0.001432408236347359,0.3333333333333333,42.63358778625954
16169E,WRAP 50'S  CHRISTMAS,22086,PAPER CHAIN KIT 50'S CHRISTMAS,35,0.0010444643390032826,0.24305555555555555,5.145162139397767
16169E,WRAP 50'S  CHRISTMAS,23354,6 GIFT TAGS 50'S CHRISTMAS,33,0.0009847806624888092,0.22916666666666666,31.602366255144034
16169E,WRAP 50'S  CHRISTMAS,23351,ROLL WRAP 50'S CHRISTMAS,28,0.0008355714712026261,0.19444444444444445,25.75428194993412
16169E,WRAP 50'S  CHRISTMAS,23319,BOX OF 6 MINI 50'S CRACKERS,23,0.0006863622799164428,0.1597222222222222,15.42447166186359
16216,LETTER SHAPE PENCIL SHARPENER,16237,SLEEPING CAT ERASERS,22,0.0006565204416592062,0.30985915492957744,33.38707486074
16235,RECYCLED PENCIL WITH RABBIT ERASER,16237,SLEEPING CAT ERASERS,27,0.0008057296329453894,0.1875,20.20297427652733
16235,RECYCLED PENCIL WITH RABBIT ERASER,21034,REX CASH+CARRY JUMBO SHOPPER,27,0.0008057296329453894,0.1875,3.5780894077448746
16235,RECYCLED PENCIL WITH RABBIT ERASER,20975,12 PENCILS SMALL TUBE RED SPOTTY,24,0.0007162041181736795,0.16666666666666666,8.047550432276656
16235,RECYCLED PENCIL WITH RABBIT ERASER,20992,JAZZ HEARTS PURSE NOTEBOOK,23,0.0006863622799164428,0.1597222222222222,15.88217111770524
16235,RECYCLED PENCIL WITH RABBIT ERASER,20727,LUNCH BAG  BLACK SKULL.,23,0.0006863622799164428,0.1597222222222222,2.839412024756852
16236,KITTY PENCIL ERASERS,16237,SLEEPING CAT ERASERS,62,0.0018501939719486721,0.496,53.44360128617364
16236,KITTY PENCIL ERASERS,16238,PARTY TIME PENCIL ERASERS,46,0.0013727245598328856,0.368,107.232
16236,KITTY PENCIL ERASERS,21034,REX CASH+CARRY JUMBO SHOPPER,25,0.0007460459564309161,0.2,3.8166287015945333
16236,KITTY PENCIL ERASERS,21703,BAG 125g SWIRLY MARBLES,20,0.000596836765144733,0.16,12.826794258373207
16237,SLEEPING CAT ERASERS,16236,KITTY PENCIL ERASERS,62,0.0018501939719486721,0.19935691318327975,53.44360128617364
16237,SLEEPING CAT ERASERS,16238,PARTY TIME PENCIL ERASERS,50,0.0014920919128618322,0.1607717041800643,46.84747658325178
16237,SLEEPING CAT ERASERS,21212,PACK OF 72 RETRO SPOT CAKE CASES,40,0.001193673530289466,0.12861736334405144,1.8293581687857232
16237,SLEEPING CAT ERASERS,22139,RETRO SPOT TEA SET CERAMIC 11 PC,38,0.0011339898537749925,0.12218649517684887,2.354496522930538
16237,SLEEPING CAT ERASERS,10120,DOGGY RUBBER,36,0.0010743061772605193,0.1157556270096463,70.52674656533179
16238,PARTY TIME PENCIL ERASERS,16237,SLEEPING CAT ERASERS,50,0.0014920919128618322,0.43478260869565216,46.84747658325178
16238,PARTY TIME PENCIL ERASERS,16236,KITTY PENCIL ERASERS,46,0.0013727245598328856,0.4,107.232
16238,PARTY TIME PENCIL ERASERS,22197,"POPCORN HOLDER , SMALL",20,0.000596836765144733,0.17391304347826086,3.6130353917895364
16238,PARTY TIME PENCIL ERASERS,21034,REX CASH+CARRY JUMBO SHOPPER,20,0.000596836765144733,0.17391304347826086,3.318807566603942
17003,BROCADE RING PURSE,21034,REX CASH+CARRY JUMBO SHOPPER,54,0.0016114592658907788,0.14917127071823205,2.846656766382663
17003,BROCADE RING PURSE,21212,PACK OF 72 RETRO SPOT CAKE CASES,42,0.001253357206803939,0.11602209944751381,1.650212458610436
17003,BROCADE RING PURSE,15036,ASSORTED COLOURS SILK FAN,41,0.0012235153685467024,0.1132596685082873,6.325552486187846
17003,BROCADE RING PURSE,21080,SET/20 RED SPOTTY PAPER NAPKINS,41,0.0012235153685467024,0.1132596685082873,2.405153036573325
17003,BROCADE RING PURSE,20974,12 PENCILS SMALL TUBE SKULL,40,0.001193673530289466,0.11049723756906077,5.933914152146197
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,20,0.000596836765144733,0.4878048780487805,347.794499221588
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,28,0.0008355714712026261,0.5490196078431373,427.8522571819426
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,23,0.0006863622799164428,0.45098039215686275,321.53942428035043
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,24,0.0007162041181736795,0.5106382978723404,397.9416130628402
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,23,0.0006863622799164428,0.48936170212765956,321.53942428035043
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,20,0.000596836765144733,0.425531914893617,347.794499221588
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,28,0.0008355714712026261,0.6511627906976745,427.8522571819426
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,24,0.0007162041181736795,0.5581395348837209,397.9416130628402
17084N,FAIRY DREAMS INCENSE,21167,WHITE SAGE INCENSE,22,0.0006565204416592062,0.3728813559322034,260.3177966101695
17084R,ASSORTED INCENSE PACK,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,0.0007460459564309161,0.423728813559322,3.041806457234979
17091A,LAVENDER INCENSE IN TIN,17091J,VANILLA INCENSE IN TIN,57,0.0017009847806624889,0.5480769230769231,120.82932692307693
17091A,LAVENDER INCENSE IN TIN,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,0.0010743061772605193,0.34615384615384615,2.4849218904488826
17091A,LAVENDER INCENSE IN TIN,17091B,JASMINE TEA INCENSE IN TIN,23,0.0006863622799164428,0.22115384615384615,176.44917582417582
17091B,JASMINE TEA INCENSE IN TIN,17091A,LAVENDER INCENSE IN TIN,23,0.0006863622799164428,0.5476190476190477,176.44917582417582
17091B,JASMINE TEA INCENSE IN TIN,17091J,VANILLA INCENSE IN TIN,22,0.0006565204416592062,0.5238095238095238,115.4793233082707
17091B,JASMINE TEA INCENSE IN TIN,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,0.000596836765144733,0.47619047619047616,3.4184110662259766
17091J,VANILLA INCENSE IN TIN,17091A,LAVENDER INCENSE IN TIN,57,0.0017009847806624889,0.375,120.82932692307693
17091J,VANILLA INCENSE IN TIN,85123A,WHITE HANGING HEART T-LIGHT HOLDER,47,0.0014025663980901223,0.3092105263157895,2.219718238398052
17091J,VANILLA INCENSE IN TIN,17091B,JASMINE TEA INCENSE IN TIN,22,0.0006565204416592062,0.14473684210526316,115.4793233082707
17091J,VANILLA INCENSE IN TIN,21175,GIN + TONIC DIET METAL SIGN,21,0.0006266786034019695,0.13815789473684212,3.411695690959159
17091J,VANILLA INCENSE IN TIN,22469,HEART OF WICKER SMALL,21,0.0006266786034019695,0.13815789473684212,2.7217348927875245
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,0.0007162041181736795,0.32,2.2971722365038563
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,17165D,ASS COL LARGE SAND FROG P'WEIGHT,25,0.0007460459564309161,0.3424657534246575,139.95155362512529
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,17165D,ASS COL LARGE SAND FROG P'WEIGHT,33,0.0009847806624888092,0.6226415094339622,254.44776806258628
17165D,ASS COL LARGE SAND FROG P'WEIGHT,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,33,0.0009847806624888092,0.4024390243902439,254.44776806258628
17165D,ASS COL LARGE SAND FROG P'WEIGHT,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,25,0.0007460459564309161,0.3048780487804878,139.95155362512529
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,40,0.001193673530289466,0.272108843537415,1.9533777521291291
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,84946,ANTIQUE SILVER TEA GLASS ETCHED,23,0.0006863622799164428,0.1564625850340136,4.108982150854072
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,84879,ASSORTED COLOUR BIRD ORNAMENT,23,0.0006863622799164428,0.1564625850340136,2.0424858685195932
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,18098C,PORCELAIN BUTTERFLY OIL BURNER,20,0.000596836765144733,0.1360544217687075,26.8187274909964
18098C,PORCELAIN BUTTERFLY OIL BURNER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,58,0.0017308266189197256,0.3411764705882353,2.449190987448964
18098C,PORCELAIN BUTTERFLY OIL BURNER,21232,STRAWBERRY CERAMIC TRINKET BOX,25,0.0007460459564309161,0.14705882352941177,2.728649599374634
18098C,PORCELAIN BUTTERFLY OIL BURNER,22470,HEART OF WICKER LARGE,22,0.0006565204416592062,0.12941176470588237,2.6029941388320035
18098C,PORCELAIN BUTTERFLY OIL BURNER,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,20,0.000596836765144733,0.11764705882352941,26.8187274909964
18098C,PORCELAIN BUTTERFLY OIL BURNER,21733,RED HANGING HEART T-LIGHT HOLDER,20,0.000596836765144733,0.11764705882352941,2.5783864886700267
20615,BLUE SPOTTY PASSPORT COVER,20652,BLUE SPOTTY LUGGAGE TAG,25,0.0007460459564309161,0.36231884057971014,157.6792772444946
20617,FIRST CLASS PASSPORT COVER,20654,FIRST CLASS LUGGAGE TAG,25,0.0007460459564309161,0.3787878787878788,173.879202988792
20617,FIRST CLASS PASSPORT COVER,21865,PINK UNION JACK  PASSPORT COVER,24,0.0007162041181736795,0.36363636363636365,66.22529644268776
20617,FIRST CLASS PASSPORT COVER,20618,QUEEN OF THE SKIES PASSPORT COVER,20,0.000596836765144733,0.30303030303030304,163.78299120234607
20617,FIRST CLASS PASSPORT COVER,20622,VIPPASSPORT COVER,20,0.000596836765144733,0.30303030303030304,137.22358722358726
20618,QUEEN OF THE SKIES PASSPORT COVER,20655,QUEEN OF SKIES LUGGAGE TAG,27,0.0008057296329453894,0.43548387096774194,192.01400679117148
20618,QUEEN OF THE SKIES PASSPORT COVER,20617,FIRST CLASS PASSPORT COVER,20,0.000596836765144733,0.3225806451612903,163.78299120234607
20618,QUEEN OF THE SKIES PASSPORT COVER,21865,PINK UNION JACK  PASSPORT COVER,20,0.000596836765144733,0.3225806451612903,58.74824684431977
20619,TROPICAL PASSPORT COVER,20657,TROPICAL LUGGAGE TAG,21,0.0006266786034019695,0.3888888888888889,210.18817204301075
20622,VIPPASSPORT COVER,21864,UNION JACK FLAG PASSPORT COVER,29,0.0008654133094598628,0.3918918918918919,55.64532753092077
20622,VIPPASSPORT COVER,21865,PINK UNION JACK  PASSPORT COVER,26,0.0007758877946881528,0.35135135135135137,63.987955346651006
20622,VIPPASSPORT COVER,20617,FIRST CLASS PASSPORT COVER,20,0.000596836765144733,0.2702702702702703,137.22358722358726
20652,BLUE SPOTTY LUGGAGE TAG,20658,RED SPOTTY LUGGAGE TAG,40,0.001193673530289466,0.5194805194805194,86.17718914748617
20652,BLUE SPOTTY LUGGAGE TAG,20615,BLUE SPOTTY PASSPORT COVER,25,0.0007460459564309161,0.3246753246753247,157.6792772444946
20652,BLUE SPOTTY LUGGAGE TAG,21866,UNION JACK FLAG LUGGAGE TAG,25,0.0007460459564309161,0.3246753246753247,42.17003926306251
20654,FIRST CLASS LUGGAGE TAG,20659,ECONOMY LUGGAGE TAG,28,0.0008355714712026261,0.3835616438356164,183.61643835616437
20654,FIRST CLASS LUGGAGE TAG,20658,RED SPOTTY LUGGAGE TAG,28,0.0008355714712026261,0.3835616438356164,63.62945883629459
20654,FIRST CLASS LUGGAGE TAG,20655,QUEEN OF SKIES LUGGAGE TAG,26,0.0007758877946881528,0.3561643835616438,157.04037490987741
20654,FIRST CLASS LUGGAGE TAG,21866,UNION JACK FLAG LUGGAGE TAG,26,0.0007758877946881528,0.3561643835616438,46.25995539980886
20654,FIRST CLASS LUGGAGE TAG,20617,FIRST CLASS PASSPORT COVER,25,0.0007460459564309161,0.3424657534246575,173.879202988792
20655,QUEEN OF SKIES LUGGAGE TAG,20618,QUEEN OF THE SKIES PASSPORT COVER,27,0.0008057296329453894,0.35526315789473684,192.01400679117148
20655,QUEEN OF SKIES LUGGAGE TAG,20654,FIRST CLASS LUGGAGE TAG,26,0.0007758877946881528,0.34210526315789475,157.04037490987741
20655,QUEEN OF SKIES LUGGAGE TAG,20659,ECONOMY LUGGAGE TAG,25,0.0007460459564309161,0.32894736842105265,157.47180451127818
20655,QUEEN OF SKIES LUGGAGE TAG,21867,PINK UNION JACK  LUGGAGE TAG,24,0.0007162041181736795,0.3157894736842105,58.464669962198315
